family_id,stage,name,theme,source_file,status,archetype,frame_size,anchor
6,1,Kompasik,Mapowanie_kierunkowe,006_01_FORMA_BAZOWA_Kompasik.jpg,approved,quadruped,128x128,bottom-center
6,2,Oktantor,Mapowanie_kierunkowe,006_02_EWOLUCJA_I_Oktantor.jpg,approved,serpent,128x128,bottom-center
6,3,Kartografon,Mapowanie_kierunkowe,006_03_EWOLUCJA_FINALOWA_Kartografon.jpg,blocked_qa,quadruped,128x128,bottom-center
7,1,Srubik,Torsja_warstw,007_01_FORMA_BAZOWA_Srubik.jpg,approved,serpent,128x128,bottom-center
7,2,Torsys,Torsja_warstw,007_02_EWOLUCJA_I_Torsys.jpg,approved,serpent,128x128,bottom-center
7,3,Spiralion,Torsja_warstw,007_03_EWOLUCJA_FINALOWA_Spiralion.jpg,approved,serpent,128x128,bottom-center
8,1,uczek,Obchodzenie_bariery,008_01_FORMA_BAZOWA_uczek.jpg,approved,serpent,128x128,bottom-center
8,2,Obiegnik,Obchodzenie_bariery,008_02_EWOLUCJA_I_Obiegnik.jpg,approved,quadruped,128x128,bottom-center
8,3,Labiryntaur,Obchodzenie_bariery,008_03_EWOLUCJA_FINALOWA_Labiryntaur.jpg,blocked_qa,serpent,128x128,bottom-center
9,1,Kotwiczek,Rekastabilizator,009_01_FORMA_BAZOWA_Kotwiczek.jpg,approved,heavy,128x128,bottom-center
9,2,Bramnik,Rekastabilizator,009_02_EWOLUCJA_I_Bramnik.jpg,approved,quadruped,128x128,bottom-center
9,3,Fundamentor,Rekastabilizator,009_03_EWOLUCJA_FINALOWA_Fundamentor.jpg,blocked_qa,heavy,128x128,bottom-center
10,1,Nasuch,Rekaczujnik,010_01_FORMA_BAZOWA_Nasuch.jpg,approved,pulse,128x128,bottom-center
10,2,Echouszek,Rekaczujnik,010_02_EWOLUCJA_I_Echouszek.jpg,approved,wing-glide,128x128,bottom-center
10,3,Sensoryks,Rekaczujnik,010_03_EWOLUCJA_FINALOWA_Sensoryks.jpg,approved,pulse,128x128,bottom-center
11,1,Dwumik,Ta_sama_faza,011_01_FORMA_BAZOWA_Dwumik.jpg,approved,quadruped,128x128,bottom-center
11,2,Synchroap,Ta_sama_faza,011_02_EWOLUCJA_I_Synchroap.jpg,approved,quadruped,128x128,bottom-center
11,3,Chorogrif,Ta_sama_faza,011_03_EWOLUCJA_FINALOWA_Chorogrif.jpg,approved,quadruped,128x128,bottom-center
12,1,Fazik,Przeciwfaza,012_01_FORMA_BAZOWA_Fazik.jpg,approved,quadruped,128x128,bottom-center
12,2,Kontrafal,Przeciwfaza,012_02_EWOLUCJA_I_Kontrafal.jpg,approved,quadruped,128x128,bottom-center
12,3,Antyfonix,Przeciwfaza,012_03_EWOLUCJA_FINALOWA_Antyfonix.jpg,approved,quadruped,128x128,bottom-center
13,1,Tropiciel,Trop_reakcji_odlegej,013_01_FORMA_BAZOWA_Tropiciel.jpg,approved,serpent,128x128,bottom-center
13,2,Dalekoskok,Trop_reakcji_odlegej,013_02_EWOLUCJA_I_Dalekoskok.jpg,approved,quadruped,128x128,bottom-center
13,3,Sieciowid,Trop_reakcji_odlegej,013_03_EWOLUCJA_FINALOWA_Sieciowid.jpg,approved,quadruped,128x128,bottom-center
14,1,Przeskok,Przeniesienie_punktu_pracy,014_01_FORMA_BAZOWA_Przeskok.jpg,approved,pulse,128x128,bottom-center
14,2,Wezowiec,Przeniesienie_punktu_pracy,014_02_EWOLUCJA_I_Wezowiec.jpg,approved,pulse,128x128,bottom-center
14,3,Portalnik,Przeniesienie_punktu_pracy,014_03_EWOLUCJA_FINALOWA_Portalnik.jpg,approved,serpent,128x128,bottom-center
15,1,Nucik,Wibracja_dostrojona_do_gosu,015_01_FORMA_BAZOWA_Nucik.jpg,approved,wing-glide,128x128,bottom-center
15,2,Wibrospiew,Wibracja_dostrojona_do_gosu,015_02_EWOLUCJA_I_Wibrospiew.jpg,blocked_qa,wing-glide,128x128,bottom-center
15,3,Rezonar,Wibracja_dostrojona_do_gosu,015_03_EWOLUCJA_FINALOWA_Rezonar.jpg,approved,wing-glide,128x128,bottom-center
16,1,Petelka,Wibracyjne_sterowanie_zamkniete,016_01_FORMA_BAZOWA_Petelka.jpg,approved,wing-glide,128x128,bottom-center
16,2,Sprzezyk,Wibracyjne_sterowanie_zamkniete,016_02_EWOLUCJA_I_Sprzezyk.jpg,approved,wing-glide,128x128,bottom-center
16,3,Cyberwibr,Wibracyjne_sterowanie_zamkniete,016_03_EWOLUCJA_FINALOWA_Cyberwibr.jpg,approved,wing-glide,128x128,bottom-center
17,1,Dudnik,Wibracja_fazowa_dwoch_punktow,017_01_FORMA_BAZOWA_Dudnik.jpg,approved,wing-glide,128x128,bottom-center
17,2,Fazodud,Wibracja_fazowa_dwoch_punktow,017_02_EWOLUCJA_I_Fazodud.jpg,approved,wing-glide,128x128,bottom-center
17,3,Interferon,Wibracja_fazowa_dwoch_punktow,017_03_EWOLUCJA_FINALOWA_Interferon.jpg,approved,wing-glide,128x128,bottom-center
18,1,Wirutek,Mikrowibracja_spiralna,018_01_FORMA_BAZOWA_Wirutek.jpg,approved,wing-glide,128x128,bottom-center
18,2,Spirydrz,Mikrowibracja_spiralna,018_02_EWOLUCJA_I_Spirydrz.jpg,approved,wing-glide,128x128,bottom-center
18,3,Galaktylion,Mikrowibracja_spiralna,018_03_EWOLUCJA_FINALOWA_Galaktylion.jpg,approved,wing-glide,128x128,bottom-center
19,1,Hercek,Wibracja_pomiarowa_urzadzeniem,019_01_FORMA_BAZOWA_Hercek.jpg,approved,wing-glide,128x128,bottom-center
19,2,Akceler,Wibracja_pomiarowa_urzadzeniem,019_02_EWOLUCJA_I_Akceler.jpg,approved,wing-glide,128x128,bottom-center
19,3,Metronotron,Wibracja_pomiarowa_urzadzeniem,019_03_EWOLUCJA_FINALOWA_Metronotron.jpg,approved,wing-glide,128x128,bottom-center
20,1,Szewik,Odzyskiwanie_slizgu_blizny,020_01_FORMA_BAZOWA_Szewik.jpg,approved,serpent,128x128,bottom-center
20,2,Blizgacz,Odzyskiwanie_slizgu_blizny,020_02_EWOLUCJA_I_Blizgacz.jpg,approved,quadruped,128x128,bottom-center
20,3,Regenerion,Odzyskiwanie_slizgu_blizny,020_03_EWOLUCJA_FINALOWA_Regenerion.jpg,approved,serpent,128x128,bottom-center
21,1,Tchnik,Integracja_z_ruchem_i_oddechem,021_01_FORMA_BAZOWA_Tchnik.jpg,approved,quadruped,128x128,bottom-center
21,2,Ruchodmuch,Integracja_z_ruchem_i_oddechem,021_02_EWOLUCJA_I_Ruchodmuch.jpg,approved,quadruped,128x128,bottom-center
21,3,Autonomir,Integracja_z_ruchem_i_oddechem,021_03_EWOLUCJA_FINALOWA_Autonomir.jpg,approved,quadruped,128x128,bottom-center
22,1,Wedrus,Mikrowedrowanie,022_01_FORMA_BAZOWA_Wedrus.jpg,approved,quadruped,128x128,bottom-center
22,2,Czujokrok,Mikrowedrowanie,022_02_EWOLUCJA_I_Czujokrok.jpg,approved,pulse,128x128,bottom-center
22,3,Flowmancer,Mikrowedrowanie,022_03_EWOLUCJA_FINALOWA_Flowmancer.jpg,blocked_qa,quadruped,128x128,bottom-center
23,1,Iskrokol,Piezoimpuls_warstwowy,023_01_FORMA_BAZOWA_Iskrokol.jpg,approved,quadruped,128x128,bottom-center
23,2,Piezousk,Piezoimpuls_warstwowy,023_02_EWOLUCJA_I_Piezousk.jpg,approved,quadruped,128x128,bottom-center
23,3,Elektrokoral,Piezoimpuls_warstwowy,023_03_EWOLUCJA_FINALOWA_Elektrokoral.jpg,approved,serpent,128x128,bottom-center
24,1,Spiriskra,Piezoobwod_spiralny,024_01_FORMA_BAZOWA_Spiriskra.jpg,blocked_qa,serpent,128x128,bottom-center
24,2,Obwodzik,Piezoobwod_spiralny,024_02_EWOLUCJA_I_Obwodzik.jpg,blocked_qa,serpent,128x128,bottom-center
24,3,Helikoswietl,Piezoobwod_spiralny,024_03_EWOLUCJA_FINALOWA_Helikoswietl.jpg,approved,serpent,128x128,bottom-center
25,1,Ciezulek,Grawitacyjny_zawias,025_01_FORMA_BAZOWA_Ciezulek.jpg,blocked_qa,heavy,128x128,bottom-center
25,2,Zawiasaur,Grawitacyjny_zawias,025_02_EWOLUCJA_I_Zawiasaur.jpg,blocked_qa,heavy,128x128,bottom-center
25,3,Grawititan,Grawitacyjny_zawias,025_03_EWOLUCJA_FINALOWA_Grawititan.jpg,approved,heavy,128x128,bottom-center
26,1,Koysik,Koyska_bezwadnosci,026_01_FORMA_BAZOWA_Koysik.jpg,approved,quadruped,128x128,bottom-center
26,2,Bezwadek,Koyska_bezwadnosci,026_02_EWOLUCJA_I_Bezwadek.jpg,blocked_qa,quadruped,128x128,bottom-center
26,3,Orbitalos,Koyska_bezwadnosci,026_03_EWOLUCJA_FINALOWA_Orbitalos.jpg,approved,serpent,128x128,bottom-center
27,1,Kropelka,Pynna_osemka_gradientow,027_01_FORMA_BAZOWA_Kropelka.jpg,approved,quadruped,128x128,bottom-center
27,2,Osemnik,Pynna_osemka_gradientow,027_02_EWOLUCJA_I_Osemnik.jpg,approved,quadruped,128x128,bottom-center
27,3,Hydrainfinity,Pynna_osemka_gradientow,027_03_EWOLUCJA_FINALOWA_Hydrainfinity.jpg,approved,serpent,128x128,bottom-center
28,1,Mostek,Most_oddechowocisnieniowy,028_01_FORMA_BAZOWA_Mostek.jpg,approved,wing-glide,128x128,bottom-center
28,2,Cisnieniak,Most_oddechowocisnieniowy,028_02_EWOLUCJA_I_Cisnieniak.jpg,approved,wing-glide,128x128,bottom-center
28,3,Pneumost,Most_oddechowocisnieniowy,028_03_EWOLUCJA_FINALOWA_Pneumost.jpg,approved,wing-glide,128x128,bottom-center
29,1,Echonerw,Echo_nerwowomechaniczne,029_01_FORMA_BAZOWA_Echonerw.jpg,approved,wing-glide,128x128,bottom-center
29,2,Synapsik,Echo_nerwowomechaniczne,029_02_EWOLUCJA_I_Synapsik.jpg,approved,wing-glide,128x128,bottom-center
29,3,Neurogryf,Echo_nerwowomechaniczne,029_03_EWOLUCJA_FINALOWA_Neurogryf.jpg,approved,wing-glide,128x128,bottom-center
30,1,Kafelek,Mozaika_anatomiczna_3D,030_01_FORMA_BAZOWA_Kafelek.jpg,approved,quadruped,128x128,bottom-center
30,2,Mozaur,Mozaika_anatomiczna_3D,030_02_EWOLUCJA_I_Mozaur.jpg,approved,quadruped,128x128,bottom-center
30,3,Anatomorf,Mozaika_anatomiczna_3D,030_03_EWOLUCJA_FINALOWA_Anatomorf.jpg,approved,quadruped,128x128,bottom-center
31,1,Cieplik,Puls_termicznomechaniczny,031_01_FORMA_BAZOWA_Cieplik.jpg,approved,heavy,128x128,bottom-center
31,2,Termopuls,Puls_termicznomechaniczny,031_02_EWOLUCJA_I_Termopuls.jpg,blocked_qa,heavy,128x128,bottom-center
31,3,Solarion,Puls_termicznomechaniczny,031_03_EWOLUCJA_FINALOWA_Solarion.jpg,approved,serpent,128x128,bottom-center
32,1,Sekundzik,Sprezystolepki_zegar,032_01_FORMA_BAZOWA_Sekundzik.jpg,approved,serpent,128x128,bottom-center
32,2,Lepkoskok,Sprezystolepki_zegar,032_02_EWOLUCJA_I_Lepkoskok.jpg,blocked_qa,quadruped,128x128,bottom-center
32,3,Chronozel,Sprezystolepki_zegar,032_03_EWOLUCJA_FINALOWA_Chronozel.jpg,approved,serpent,128x128,bottom-center
33,1,Tuipu,Tui_Fa_pchanie_wzduz_kanau,033_01_FORMA_BAZOWA_Tuipu.jpg,approved,quadruped,128x128,bottom-center
33,2,Kanaek,Tui_Fa_pchanie_wzduz_kanau,033_02_EWOLUCJA_I_Kanaek.jpg,approved,quadruped,128x128,bottom-center
33,3,Smok_Szlaku,Tui_Fa_pchanie_wzduz_kanau,033_03_EWOLUCJA_FINALOWA_Smok_Szlaku.jpg,approved,serpent,128x128,bottom-center
34,1,Gunku,Gun_Fa_rolowanie_miekka_piescia,034_01_FORMA_BAZOWA_Gunku.jpg,approved,quadruped,128x128,bottom-center
34,2,Rolobak,Gun_Fa_rolowanie_miekka_piescia,034_02_EWOLUCJA_I_Rolobak.jpg,approved,quadruped,128x128,bottom-center
34,3,Jadeitowy_Walec,Gun_Fa_rolowanie_miekka_piescia,034_03_EWOLUCJA_FINALOWA_Jadeitowy_Walec.jpg,approved,quadruped,128x128,bottom-center
35,1,Rouru,Rou_Fa_ugniatanie_okrezne,035_01_FORMA_BAZOWA_Rouru.jpg,approved,quadruped,128x128,bottom-center
35,2,Kragap,Rou_Fa_ugniatanie_okrezne,035_02_EWOLUCJA_I_Kragap.jpg,approved,quadruped,128x128,bottom-center
35,3,Cynobrowy_Wir,Rou_Fa_ugniatanie_okrezne,035_03_EWOLUCJA_FINALOWA_Cynobrowy_Wir.jpg,approved,serpent,128x128,bottom-center
36,1,Naku,Na_Fa_chwytanie_i_unoszenie,036_01_FORMA_BAZOWA_Naku.jpg,approved,quadruped,128x128,bottom-center
36,2,Unoszek,Na_Fa_chwytanie_i_unoszenie,036_02_EWOLUCJA_I_Unoszek.jpg,approved,quadruped,128x128,bottom-center
36,3,Zuraw_Chmur,Na_Fa_chwytanie_i_unoszenie,036_03_EWOLUCJA_FINALOWA_Zuraw_Chmur.jpg,approved,quadruped,128x128,bottom-center
37,1,Chanek,Yi_Zhi_Chan_Tui_Fa_koysanie_jednym_palcem,037_01_FORMA_BAZOWA_Chanek.jpg,approved,quadruped,128x128,bottom-center
37,2,Jednopuls,Yi_Zhi_Chan_Tui_Fa_koysanie_jednym_palcem,037_02_EWOLUCJA_I_Jednopuls.jpg,approved,quadruped,128x128,bottom-center
37,3,Medytacyjny_Kilin,Yi_Zhi_Chan_Tui_Fa_koysanie_jednym_palcem,037_03_EWOLUCJA_FINALOWA_Medytacyjny_Kilin.jpg,approved,hover,128x128,bottom-center
38,1,Mofu,Mo_Fa_koliste_gaskanie_donia,038_01_FORMA_BAZOWA_Mofu.jpg,approved,quadruped,128x128,bottom-center
38,2,Ksiezycap,Mo_Fa_koliste_gaskanie_donia,038_02_EWOLUCJA_I_Ksiezycap.jpg,approved,quadruped,128x128,bottom-center
38,3,Nefrytowy_Ksiezyc,Mo_Fa_koliste_gaskanie_donia,038_03_EWOLUCJA_FINALOWA_Nefrytowy_Ksiezyc.jpg,approved,quadruped,128x128,bottom-center
39,1,Anan,An_Fa_spokojny_nacisk_akupresurowy,039_01_FORMA_BAZOWA_Anan.jpg,approved,quadruped,128x128,bottom-center
39,2,Punktuspokoj,An_Fa_spokojny_nacisk_akupresurowy,039_02_EWOLUCJA_I_Punktuspokoj.jpg,approved,pulse,128x128,bottom-center
39,3,Straznik_Qi,An_Fa_spokojny_nacisk_akupresurowy,039_03_EWOLUCJA_FINALOWA_Straznik_Qi.jpg,approved,pulse,128x128,bottom-center
40,1,Dianek,Dian_Fa_precyzyjny_nacisk_punktowy,040_01_FORMA_BAZOWA_Dianek.jpg,blocked_qa,pulse,128x128,bottom-center
40,2,Igopuch,Dian_Fa_precyzyjny_nacisk_punktowy,040_02_EWOLUCJA_I_Igopuch.jpg,approved,pulse,128x128,bottom-center
40,3,Gwiezdny_Punktor,Dian_Fa_precyzyjny_nacisk_punktowy,040_03_EWOLUCJA_FINALOWA_Gwiezdny_Punktor.jpg,approved,pulse,128x128,bottom-center
41,1,Hegus,Brama_Doliny_Hegu_LI4,041_01_FORMA_BAZOWA_Hegus.jpg,approved,serpent,128x128,bottom-center
41,2,Metalowa_Brama,Brama_Doliny_Hegu_LI4,041_02_EWOLUCJA_I_Metalowa_Brama.jpg,approved,quadruped,128x128,bottom-center
41,3,Biay_Tygrys_Doliny,Brama_Doliny_Hegu_LI4,041_03_EWOLUCJA_FINALOWA_Biay_Tygrys_Doliny.jpg,approved,serpent,128x128,bottom-center
42,1,Neinek,Wewnetrzna_Przeecz_Neiguan_PC6,042_01_FORMA_BAZOWA_Neinek.jpg,approved,quadruped,128x128,bottom-center
42,2,Ognisty_Straznik,Wewnetrzna_Przeecz_Neiguan_PC6,042_02_EWOLUCJA_I_Ognisty_Straznik.jpg,approved,quadruped,128x128,bottom-center
42,3,Feniks_Wewnetrznej_Bramy,Wewnetrzna_Przeecz_Neiguan_PC6,042_03_EWOLUCJA_FINALOWA_Feniks_Wewnetrznej_Bramy.jpg,approved,quadruped,128x128,bottom-center
43,1,Zuzu,Trzy_Mile_Nogi_Zusanli_ST36,043_01_FORMA_BAZOWA_Zuzu.jpg,approved,quadruped,128x128,bottom-center
43,2,Ziemiomil,Trzy_Mile_Nogi_Zusanli_ST36,043_02_EWOLUCJA_I_Ziemiomil.jpg,approved,quadruped,128x128,bottom-center
43,3,Zoty_Kilin_Ziemi,Trzy_Mile_Nogi_Zusanli_ST36,043_03_EWOLUCJA_FINALOWA_Zoty_Kilin_Ziemi.jpg,approved,quadruped,128x128,bottom-center
44,1,Taierek,Wielki_Potok_Taichong_LR3,044_01_FORMA_BAZOWA_Taierek.jpg,approved,hover,128x128,bottom-center
44,2,Potokrzew,Wielki_Potok_Taichong_LR3,044_02_EWOLUCJA_I_Potokrzew.jpg,approved,serpent,128x128,bottom-center
44,3,Zielony_Smok_Drewna,Wielki_Potok_Taichong_LR3,044_03_EWOLUCJA_FINALOWA_Zielony_Smok_Drewna.jpg,blocked_qa,serpent,128x128,bottom-center
45,1,Qiwach,Wachlarz_Qi,045_01_FORMA_BAZOWA_Qiwach.jpg,approved,wing-glide,128x128,bottom-center
45,2,Auralis,Wachlarz_Qi,045_02_EWOLUCJA_I_Auralis.jpg,approved,wing-glide,128x128,bottom-center
45,3,Smok_Tysiaca_Wachlarzy,Wachlarz_Qi,045_03_EWOLUCJA_FINALOWA_Smok_Tysiaca_Wachlarzy.jpg,blocked_qa,wing-glide,128x128,bottom-center
46,1,Peciutek,Piec_Przemian_Dotyku,046_01_FORMA_BAZOWA_Peciutek.jpg,approved,pulse,128x128,bottom-center
46,2,Wuxingon,Piec_Przemian_Dotyku,046_02_EWOLUCJA_I_Wuxingon.jpg,approved,pulse,128x128,bottom-center
46,3,Chimera_Pieciu_Przemian,Piec_Przemian_Dotyku,046_03_EWOLUCJA_FINALOWA_Chimera_Pieciu_Przemian.jpg,approved,pulse,128x128,bottom-center
47,1,Orbitka,Mikrokosmiczna_Orbita_Oddechu,047_01_FORMA_BAZOWA_Orbitka.jpg,approved,serpent,128x128,bottom-center
47,2,Ren_Dun,Mikrokosmiczna_Orbita_Oddechu,047_02_EWOLUCJA_I_Ren_Dun.jpg,approved,quadruped,128x128,bottom-center
47,3,Taotyczny_Waz_Nieba,Mikrokosmiczna_Orbita_Oddechu,047_03_EWOLUCJA_FINALOWA_Taotyczny_Waz_Nieba.jpg,approved,serpent,128x128,bottom-center
48,1,Danek,Kotwica_Dantian,048_01_FORMA_BAZOWA_Danek.jpg,approved,heavy,128x128,bottom-center
48,2,Kotwiczan,Kotwica_Dantian,048_02_EWOLUCJA_I_Kotwiczan.jpg,approved,heavy,128x128,bottom-center
48,3,Straznik_Dolnego_Pola,Kotwica_Dantian,048_03_EWOLUCJA_FINALOWA_Straznik_Dolnego_Pola.jpg,blocked_qa,heavy,128x128,bottom-center
49,1,Lampik,Lampion_Uwaznej_Doni,049_01_FORMA_BAZOWA_Lampik.jpg,approved,wing-glide,128x128,bottom-center
49,2,Uwaznik,Lampion_Uwaznej_Doni,049_02_EWOLUCJA_I_Uwaznik.jpg,approved,wing-glide,128x128,bottom-center
49,3,Latarnik_Ciszy,Lampion_Uwaznej_Doni,049_03_EWOLUCJA_FINALOWA_Latarnik_Ciszy.jpg,approved,wing-glide,128x128,bottom-center
50,1,Mantrik,Rezonans_Mantry_i_Dotyku,050_01_FORMA_BAZOWA_Mantrik.jpg,blocked_qa,wing-glide,128x128,bottom-center
50,2,Tonolotos,Rezonans_Mantry_i_Dotyku,050_02_EWOLUCJA_I_Tonolotos.jpg,blocked_qa,wing-glide,128x128,bottom-center
50,3,Rezonansowy_Garuda,Rezonans_Mantry_i_Dotyku,050_03_EWOLUCJA_FINALOWA_Rezonansowy_Garuda.jpg,approved,wing-glide,128x128,bottom-center
