dex_index,line,form,name,atlas_col,atlas_row,source_group
127,43,1,Zusanli,6,8,043_Trzy_Mile_Nogi_Zusanli_ST36
128,43,2,Sanli,7,8,043_Trzy_Mile_Nogi_Zusanli_ST36
129,43,3,Milobieg,8,8,043_Trzy_Mile_Nogi_Zusanli_ST36
130,44,1,Taichong,9,8,044_Wielki_Potok_Taichong_LR3
131,44,2,Chongtai,10,8,044_Wielki_Potok_Taichong_LR3
132,44,3,Potokar,11,8,044_Wielki_Potok_Taichong_LR3
133,45,1,Sanyinjiao,12,8,045_Spotkanie_Trzech_Yin_Sanyinjiao_SP6
134,45,2,Yinjiao,13,8,045_Spotkanie_Trzech_Yin_Sanyinjiao_SP6
135,45,3,Trijun,14,8,045_Spotkanie_Trzech_Yin_Sanyinjiao_SP6
136,46,1,Piecik,0,9,046_Piec_Przemian_Dotyku
137,46,2,Transform,1,9,046_Piec_Przemian_Dotyku
138,46,3,Alchemion,2,9,046_Piec_Przemian_Dotyku
139,47,1,Orbik,3,9,047_Mikrokosmiczna_Orbita_Oddechu
140,47,2,Orbitron,4,9,047_Mikrokosmiczna_Orbita_Oddechu
141,47,3,Mikrokosmos,5,9,047_Mikrokosmiczna_Orbita_Oddechu
142,48,1,Dantian,6,9,048_Kotwica_Dantian
143,48,2,Kotwian,7,9,048_Kotwica_Dantian
144,48,3,Centrion,8,9,048_Kotwica_Dantian
145,49,1,Lampion,9,9,049_Lampion_Uwaznej_Doni
146,49,2,Swietlik,10,9,049_Lampion_Uwaznej_Doni
147,49,3,Uwagor,11,9,049_Lampion_Uwaznej_Doni
148,50,1,Mantrik,12,9,050_Rezonans_Mantry_i_Dotyku
149,50,2,Tonolotos,13,9,050_Rezonans_Mantry_i_Dotyku
150,50,3,Rezonansowy_Garuda,14,9,050_Rezonans_Mantry_i_Dotyku
